"ASX code","Company name","Listing date","GICs industry group"
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","2017-03-22","Not Applic"
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","2001-11-21","Health Care Equipment & Services"
"FPL","FREMONT PETROLEUM CORPORATION LIMITED","2006-07-20","Energy"
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","2017-10-10","Not Applic"
"FRI","FINBAR GROUP LIMITED","1994-08-05","Real Estate"
"FRM","FARM PRIDE FOODS LIMITED","1997-12-19","Food, Beverage & Tobacco"
"FRX","FLEXIROAM LIMITED","2015-06-16","Telecommunication Services"
"FSA","FSA GROUP LIMITED","2001-01-11","Diversified Financials"
"FSF","FONTERRA SHAREHOLDERS' FUND","2012-11-30","Food, Beverage & Tobacco"
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","2005-04-26","Telecommunication Services"
"FSI","FLAGSHIP INVESTMENTS LIMITED","2000-12-20","Not Applic"
"FTC","FINTECH CHAIN LIMITED","2012-11-27","Software & Services"
"FTT","FACTOR THERAPEUTICS LIMITED","2004-03-19","Pharmaceuticals, Biotechnology & Life Sciences"
"FTZ","FERTOZ LIMITED","2013-09-02","Materials"
"FUN","FUNTASTIC LIMITED","2000-09-14","Retailing"
"FWD","FLEETWOOD LIMITED","1987-04-15","Consumer Durables & Apparel"
"FYI","FYI RESOURCES LIMITED","1994-01-20","Materials"
"FZO","FAMILY ZONE CYBER SAFETY LIMITED","2016-08-29","Software & Services"
"FZR","FITZROY RIVER CORPORATION LTD","1998-03-04","Energy"
"G1A","GALENA MINING LIMITED","2017-09-07","Materials"
"G88","GOLDEN MILE RESOURCES LTD","2017-06-19","Materials"
"GAL","GALILEO MINING LTD","2018-05-29","Materials"
"GAP","GALE PACIFIC LIMITED","2000-12-14","Consumer Durables & Apparel"
"GAS","STATE GAS LIMITED","2017-10-10","Energy"
"GBE","GLOBE METALS & MINING LIMITED","2005-12-09","Materials"
"GBR","GREAT BOULDER RESOURCES LIMITED","2016-11-18","Materials"
"GBZ","GBM RESOURCES LIMITED","2007-10-24","Materials"
"GC1","GLENNON SMALL COMPANIES LIMITED","2015-08-21","Not Applic"
"GCI","GRYPHON CAPITAL INCOME TRUST","2018-05-25","Not Applic"
"GCR","GOLDEN CROSS RESOURCES LTD","1996-03-27","Materials"
"GCY","GASCOYNE RESOURCES LIMITED","2009-12-11","Materials"
"GDA","GOOD DRINKS AUSTRALIA LTD","2006-12-13","Food, Beverage & Tobacco"
"GDF","GARDA PROPERTY GROUP","2015-07-02","Real Estate"
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","2007-12-11","Insurance"
"GDI","GDI PROPERTY GROUP","2013-12-17","Real Estate"
"GED","GOLDEN DEEPS LIMITED.","1986-12-04","Materials"
"GEM","G8 EDUCATION LIMITED","2007-12-05","Consumer Services"
"GES","GENESIS RESOURCES LIMITED","2009-10-27","Materials"
"GEV","GLOBAL ENERGY VENTURES LIMITED","2005-03-21","Energy"
"GFL","GLOBAL MASTERS FUND LIMITED","2006-05-16","Not Applic"
"GGE","GRAND GULF ENERGY LIMITED","1998-03-20","Energy"
"GGG","GREENLAND MINERALS LIMITED","2006-06-20","Materials"
"GGX","GAS2GRID LIMITED","2005-05-13","Energy"
"GIB","GIBB RIVER DIAMONDS LIMITED","2008-07-01","Materials"
"GLA","GLADIATOR RESOURCES LIMITED","2006-06-27","Materials"
"GLB","GLOBE INTERNATIONAL LIMITED","2001-05-24","Consumer Durables & Apparel"
"GLE","GLG CORP LTD","2005-12-14","Consumer Durables & Apparel"
"GLH","GLOBAL HEALTH LIMITED","2000-04-04","Health Care Equipment & Services"
"GLL","GALILEE ENERGY LIMITED","1996-02-15","Energy"
"GLN","GALAN LITHIUM LIMITED","2011-06-08","Materials"
"GLV","GLOBAL OIL & GAS LIMITED","2005-05-25","Energy"
"GMA","GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","2014-05-20","Banks"
"GMC","GULF MANGANESE CORPORATION LIMITED","2007-08-03","Materials"
"GMD","GENESIS MINERALS LIMITED","2007-08-02","Materials"
"GME","GME RESOURCES LIMITED","1980-08-21","Materials"
"GMG","GOODMAN GROUP","2005-02-02","Real Estate"
"GML","GATEWAY MINING LIMITED","1971-08-02","Materials"
"GMN","GOLD MOUNTAIN LIMITED","2011-09-02","Materials"
"GMR","GOLDEN RIM RESOURCES LTD","1987-08-13","Materials"
"GNC","GRAINCORP LIMITED","1998-03-30","Food & Staples Retailing"
"GNE","GENESIS ENERGY LIMITED","2014-04-17","Utilities"
"GNG","GR ENGINEERING SERVICES LIMITED","2011-04-19","Materials"
"GNM","GREAT NORTHERN MINERALS LIMITED","2008-03-05","Materials"
"GNP","GENUSPLUS GROUP LTD","2020-12-14","Capital Goods"
"GNX","GENEX POWER LIMITED","2015-07-08","Utilities"
"GO2","THE GO2 PEOPLE LTD","2017-10-31","Commercial & Professional Services"
"GOO","GOOROO VENTURES LIMITED","2016-10-19","Software & Services"
"GOR","GOLD ROAD RESOURCES LIMITED","2006-07-04","Materials"
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials"
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate"
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials"
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate"
"GPT","GPT GROUP","1971-04-01","Real Estate"
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials"
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials"
"GRV","GREENVALE MINING LTD","1971-07-28","Energy"
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials"
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials"
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences"
"GSW","GETSWIFT LIMITED","2016-12-09","Software & Services"
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials"
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences"
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services"
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment"
"GTR","GTI RESOURCES LIMITED","2007-08-10","Materials"
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components"
"GUL","GULLEWA LIMITED","1980-06-19","Materials"
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic"
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods"
"GWR","GWR GROUP LIMITED","2004-12-24","Materials"
"GXY","GALAXY RESOURCES LIMITED","2007-02-06","Materials"
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials"
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials"
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials"
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy"
"HCH","HOT CHILI LIMITED","2010-05-03","Materials"
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products"
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate"
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy"
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials"
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services"
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks"
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate"
"HGM","HIGH GRADE METALS LIMITED","1995-02-13","Materials"
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials"
"HHM","HAMPTON HILL MINING NL","1994-05-10","Materials"
"HHY","HHY FUND","2005-04-11","Not Applic"
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment"
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services"
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services"
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services"
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services"
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials"
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic"
"HMC","HOME CONSORTIUM","2019-10-14","Real Estate"
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services"
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials"
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials"
"HNG","HGL LIMITED","1971-08-24","Capital Goods"
"HNR","HANNANS LTD","2003-12-05","Materials"
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials"
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment"
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate"
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy"
"HRL","HRL HOLDINGS LTD","2007-11-14","Commercial & Professional Services"
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials"
"HRR","HERON RESOURCES LIMITED","1996-08-07","Materials"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials"
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services"
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services"
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment"
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing"
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services"
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment"
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials"
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials"
"HUO","HUON AQUACULTURE GROUP LIMITED","2014-10-23","Food, Beverage & Tobacco"
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco"
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing"
"HWH","HOUSTON WE HAVE LIMITED","2010-12-17","Software & Services"
"HWK","HAWKSTONE MINING LIMITED","1971-07-08","Materials"
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials"
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences"
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment"
"HZN","HORIZON OIL LIMITED","1981-06-30","Energy"
"HZR","HAZER GROUP LIMITED","2015-12-02","Materials"
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","2000-08-08","Insurance"
"IAP","IRONGATE GROUP","2019-05-28","Real Estate"
"IBC","IRONBARK CAPITAL LIMITED","1987-04-02","Not Applic"
"IBG","IRONBARK ZINC LTD","2006-08-16","Materials"
"IBX","IMAGION BIOSYSTEMS LIMITED","2017-06-22","Health Care Equipment & Services"
"ICE","ICETANA LIMITED","2019-12-23","Software & Services"
"ICG","INCA MINERALS LIMITED","2008-06-19","Materials"
"ICI","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment"
"ICN","ICON ENERGY LIMITED","1997-09-22","Energy"
"ICQ","ICAR ASIA LIMITED","2012-09-11","Media & Entertainment"
"ICR","INTELICARE HOLDINGS LIMITED","2020-05-25","Health Care Equipment & Services"
"ICS","ICSGLOBAL LIMITED","1999-12-23","Health Care Equipment & Services"
"ICT","ICOLLEGE LIMITED","2009-08-24","Consumer Services"
"ID8","IDENTITII LIMITED","2018-10-17","Software & Services"
"IDA","INDIANA RESOURCES LIMITED","1986-07-17","Materials"
"IDT","IDT AUSTRALIA LIMITED","1991-02-18","Pharmaceuticals, Biotechnology & Life Sciences"
"IDX","INTEGRAL DIAGNOSTICS LIMITED","2015-10-21","Health Care Equipment & Services"
"IDZ","INDOOR SKYDIVE AUSTRALIA GROUP LIMITED","2013-01-18","Consumer Services"
"IEC","INTRA ENERGY CORPORATION LIMITED","2007-07-04","Energy"
"IEL","IDP EDUCATION LIMITED","2015-11-26","Consumer Services"
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","1993-03-11","Real Estate"
"IFL","IOOF HOLDINGS LIMITED","2003-12-05","Diversified Financials"
"IFM","INFOMEDIA LTD","2000-08-16","Software & Services"
"IFT","INFRATIL LIMITED.","2010-08-30","Utilities"
"IGE","INTEGRATED GREEN ENERGY SOLUTIONS LTD","1989-11-23","Commercial & Professional Services"
"IGL","IVE GROUP LIMITED","2015-12-16","Media & Entertainment"
"IGN","IGNITE LIMITED","1997-01-16","Commercial & Professional Services"
"IGO","IGO LIMITED","2002-01-17","Materials"
"IHL","INCANNEX HEALTHCARE LIMITED","2007-05-23","Pharmaceuticals, Biotechnology & Life Sciences"
"IHR","INTELLIHR LIMITED","2018-01-23","Software & Services"
"IKE","IKEGPS GROUP LIMITED","2016-11-21","Technology Hardware & Equipment"
"IKW","IKWEZI MINING LIMITED","2011-07-19","Energy"
"ILU","ILUKA RESOURCES LIMITED","1962-06-30","Materials"
"IMA","IMAGE RESOURCES NL","2002-07-04","Materials"
"IMC","IMMURON LIMITED","1999-04-30","Pharmaceuticals, Biotechnology & Life Sciences"
"IMD","IMDEX LIMITED","1987-09-24","Materials"
"IME","IMEXHS LIMITED","2005-12-14","Health Care Equipment & Services"
"IMM","IMMUTEP LIMITED","1988-06-23","Pharmaceuticals, Biotechnology & Life Sciences"
"IMR","IMRICOR MEDICAL SYSTEMS, INC.","2019-08-30","Health Care Equipment & Services"
"IMS","IMPELUS LIMITED","2000-05-11","Media & Entertainment"
"IMU","IMUGENE LIMITED","1993-11-24","Pharmaceuticals, Biotechnology & Life Sciences"
"INA","INGENIA COMMUNITIES GROUP","2004-07-01","Real Estate"
"INF","INFINITY LITHIUM CORPORATION LIMITED","2011-04-15","Materials"
"ING","INGHAMS GROUP LIMITED","2016-11-07","Food, Beverage & Tobacco"
"INP","INCENTIAPAY LIMITED","2014-09-09","Retailing"
"INR","IONEER LTD","2007-12-19","Materials"
"INV","INVESTSMART GROUP LIMITED","2005-04-21","Diversified Financials"
"IOD","IODM LIMITED","2003-11-18","Software & Services"
"IOU","IOUPAY LIMITED","2000-10-12","Media & Entertainment"
"IP1","INTEGRATED PAYMENT TECHNOLOGIES LIMITED","2016-12-19","Software & Services"
"IPB","IPB PETROLEUM LIMITED","2013-04-30","Energy"
"IPC","IMPERIAL PACIFIC LIMITED","1971-07-28","Diversified Financials"
"IPD","IMPEDIMED LIMITED","2007-10-24","Health Care Equipment & Services"
"IPH","IPH LIMITED","2014-11-19","Commercial & Professional Services"
"IPL","INCITEC PIVOT LIMITED","2003-07-28","Materials"
"IPT","IMPACT MINERALS LIMITED","2006-11-29","Materials"
"IQ3","IQ3CORP LIMITED","2015-05-18","Diversified Financials"
"IRD","IRON ROAD LIMITED","2008-06-12","Materials"
"IRDND","IRON ROAD LIMITED","2008-06-12","Materials"
"IRE","IRESS LIMITED","2000-11-03","Software & Services"
"IRI","INTEGRATED RESEARCH LIMITED","2000-12-13","Software & Services"
"IS3","I SYNERGY GROUP LIMITED","2017-03-30","Software & Services"
"ISD","ISENTIA GROUP LIMITED","2014-06-05","Software & Services"
"ISU","ISELECT LIMITED.","2013-06-24","Consumer Services"
"ISX","ISIGNTHIS LTD","1998-12-07","Software & Services"
"ITG","INTEGA GROUP LIMITED","2019-10-22","Capital Goods"
"IVC","INVOCARE LIMITED","2003-12-04","Consumer Services"
"IVO","INVIGOR GROUP LIMITED","1999-12-03","Media & Entertainment"
"IVQ","INVITROCUE LIMITED","1994-12-14","Pharmaceuticals, Biotechnology & Life Sciences"
"IVR","INVESTIGATOR RESOURCES LTD","2007-04-03","Materials"
"IVT","INVENTIS LIMITED","1999-04-14","Commercial & Professional Services"
"IVX","INVION LIMITED","2010-02-15","Pharmaceuticals, Biotechnology & Life Sciences"
"IVZ","INVICTUS ENERGY LTD","2012-01-19","Energy"
"IXC","INVEX THERAPEUTICS LTD","2019-07-05","Pharmaceuticals, Biotechnology & Life Sciences"
"IXR","IONIC RARE EARTHS LIMITED","1999-12-10","Materials"
"IXU","IXUP LIMITED","2017-11-15","Software & Services"
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Materials"
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Software & Services"
"JAT","JATCORP LIMITED","2008-01-30","Retailing"
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing"
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing"
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Software & Services"
"JDR","JADAR RESOURCES LIMITED","1994-12-07","Materials"
"JHC","JAPARA HEALTHCARE LIMITED","2014-04-17","Health Care Equipment & Services"
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials"
"JHL","JAYEX HEALTHCARE LIMITED","2015-12-17","Health Care Equipment & Services"
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials"
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services"
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods"
"JMS","JUPITER MINES LIMITED.","2018-04-18","Materials"
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy"
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Materials"
"JRV","JERVOIS MINING LIMITED","1980-12-01","Materials"
"JXT","JAXSTA LTD","2010-09-21","Software & Services"
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing"
"K2F","K2FLY LIMITED","2008-02-19","Software & Services"
"KAI","KAIROS MINERALS LIMITED","1973-05-30","Materials"
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","2007-11-29","Diversified Financials"
"KAR","KAROON ENERGY LTD","2004-06-08","Energy"
"KAT","KATANA CAPITAL LIMITED","2005-12-23","Not Applic"
"KAU","KAISER REEF LIMITED","2020-02-28","Materials"
"KBC","KEYBRIDGE CAPITAL LIMITED","1999-12-23","Diversified Financials"
"KCN","KINGSGATE CONSOLIDATED LIMITED.","1988-04-21","Materials"
"KEY","KEY PETROLEUM LIMITED","2007-04-26","Energy"
"KFE","KOGI IRON LIMITED","1987-01-16","Materials"
"KFM","KINGFISHER MINING LTD","2020-12-11","Materials"
"KGD","KULA GOLD LIMITED","2010-11-16","Materials"
"KGL","KGL RESOURCES LIMITED","2005-03-17","Materials"
"KGM","KALNORTH GOLD MINES LIMITED","2005-01-20","Materials"
"KGN","KOGAN.COM LTD","2016-07-07","Retailing"
"KIN","KIN MINING NL","2013-10-02","Materials"
"KIS","KING ISLAND SCHEELITE LIMITED","1967-09-21","Materials"
"KKC","KKR CREDIT INCOME FUND","2019-11-21","Not Applic"
"KKL","KOLLAKORN CORPORATION LIMITED","1993-02-11","Technology Hardware & Equipment"
"KKO","KINETIKO ENERGY LTD","2011-07-21","Energy"
"KLA","KIRKLAND LAKE GOLD LTD","2017-11-30","Materials"
"KLL","KALIUM LAKES LIMITED","2016-12-22","Materials"
"KLO","KINGSLAND GLOBAL LTD","2015-12-11","Real Estate"
"KLR","KAILI RESOURCES LIMITED","1997-03-06","Energy"
"KMD","KATHMANDU HOLDINGS LIMITED","2009-11-13","Retailing"
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","2003-08-15","Consumer Services"
"KMT","KOPORE METALS LIMITED","2011-07-01","Materials"
"KNH","KOON HOLDINGS LIMITED","2003-07-11","Capital Goods"
"KNM","KNEOMEDIA LIMITED","1987-06-24","Media & Entertainment"
"KNO","KNOSYS LIMITED","2015-09-09","Software & Services"
"KOR","KORAB RESOURCES LIMITED","2005-08-31","Materials"
"KOV","KORVEST LTD","1970-09-17","Capital Goods"
"KP2","KORE POTASH PLC","2017-11-07","Materials"
"KPC","KAZAKHSTAN POTASH CORPORATION LIMITED","2010-12-15","Materials"
"KPE","KINA PETROLEUM CORPORATION","2019-04-05","Energy"
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","2017-06-21","Commercial & Professional Services"
"KPO","KALINA POWER LIMITED","1971-08-02","Utilities"
"KPT","KANGAROO ISLAND PLANTATION TIMBERS LTD","2002-07-08","Materials"
"KRM","KINGSROSE MINING LIMITED","2007-12-07","Materials"
"KRR","KING RIVER RESOURCES LIMITED","2007-09-21","Materials"
"KSC","K & S CORPORATION LIMITED","1971-08-25","Transportation"
"KSL","KINA SECURITIES LIMITED","2015-07-30","Banks"
"KSN","KINGSTON RESOURCES LIMITED","1987-03-05","Materials"
"KSS","KLEOS SPACE S.A","2018-08-24","Commercial & Professional Services"
"KTA","KRAKATOA RESOURCES LIMITED","2012-12-28","Materials"
"KTD","KEYTONE DAIRY CORPORATION LIMITED","2018-07-18","Food, Beverage & Tobacco"
"KTE","K2 ENERGY LIMITED.","2004-07-02","Semiconductors & Semiconductor Equipment"
"KTG","K-TIG LIMITED","2012-11-01","Capital Goods"
"KWR","KINGWEST RESOURCES LIMITED","2018-08-24","Materials"
"KYK","KYCKR LIMITED","2016-09-07","Software & Services"
"KZA","KAZIA THERAPEUTICS LIMITED","1994-09-01","Pharmaceuticals, Biotechnology & Life Sciences"
"KZR","KALAMAZOO RESOURCES LIMITED","2017-01-16","Materials"
"LAM","LARAMIDE RESOURCES LTD","2013-04-30","Energy"
"LAU","LINDSAY AUSTRALIA LIMITED","1994-07-05","Transportation"
"LAW","LAWFINANCE LIMITED","2000-05-12","Diversified Financials"
"LBL","LASERBOND LIMITED","2007-12-17","Capital Goods"
"LBT","LBT INNOVATIONS LIMITED","2006-07-31","Health Care Equipment & Services"
"LBY","LAYBUY GROUP HOLDINGS LIMITED","2020-09-07","Software & Services"
"LCD","LATITUDE CONSOLIDATED LIMITED","1999-12-21","Materials"
"LCE","LONDON CITY EQUITIES LIMITED","1987-03-06","Diversified Financials"
"LCK","LEIGH CREEK ENERGY LIMITED","2005-03-17","Energy"
"LCL","LOS CERROS LIMITED","2007-10-02","Materials"
"LCT","LIVING CELL TECHNOLOGIES LIMITED","2004-09-01","Pharmaceuticals, Biotechnology & Life Sciences"
"LCY","LEGACY IRON ORE LIMITED","2008-07-08","Materials"
"LEG","LEGEND MINING LIMITED","1995-08-25","Materials"
"LEP","ALE PROPERTY GROUP","2003-11-12","Real Estate"
"LER","LEAF RESOURCES LTD","1999-01-05","Materials"
"LEX","LEFROY EXPLORATION LIMITED","1991-09-05","Materials"
"LFG","LIBERTY FINANCIAL GROUP","2020-12-15","Class Pend"
"LGP","LITTLE GREEN PHARMA LTD","2020-02-20","Pharmaceuticals, Biotechnology & Life Sciences"
"LHB","LIONHUB GROUP LIMITED","2006-10-25","Real Estate"
"LHM","LAND & HOMES GROUP LIMITED","2004-10-05","Real Estate"
"LIC","LIFESTYLE COMMUNITIES LIMITED","1998-12-15","Real Estate"
"LIN","LINDIAN RESOURCES LIMITED","2000-03-02","Materials"
"LIO","LION ENERGY LIMITED","1972-02-15","Energy"
"LIT","LITHIUM AUSTRALIA NL","2007-10-30","Materials"
"LITCF","LITHIUM AUSTRALIA NL","2007-10-30","Materials"
"LKE","LAKE RESOURCES N.L.","2001-08-29","Materials"
"LKO","LAKES OIL NL","1985-12-05","Energy"
"LLC","LENDLEASE GROUP","1962-06-30","Real Estate"
"LLO","LION ONE METALS LIMITED","2013-06-07","Materials"
"LME","LIMEADE, INC.","2019-12-20","Software & Services"
"LMG","LATROBE MAGNESIUM LIMITED","1986-12-18","Materials"
"LML","LINCOLN MINERALS LIMITED","2007-03-09","Materials"
"LNG","LIQUEFIED NATURAL GAS LIMITED","2004-09-14","Energy"
"LNK","LINK ADMINISTRATION HOLDINGS LIMITED","2015-10-27","Software & Services"
"LNU","LINIUS TECHNOLOGIES LIMITED","2011-07-26","Software & Services"
"LNY","LANEWAY RESOURCES LTD","1987-04-02","Materials"
"LOM","LUCAPA DIAMOND COMPANY LIMITED","2006-12-19","Materials"
"LOT","LOTUS RESOURCES LIMITED","2009-02-18","Materials"
"LOV","LOVISA HOLDINGS LIMITED","2014-12-18","Retailing"
"LPD","LEPIDICO LTD","1994-04-19","Materials"
"LPE","LOCALITY PLANNING ENERGY HOLDINGS LIMITED","2011-10-11","Utilities"
"LPI","LITHIUM POWER INTERNATIONAL LIMITED","2016-06-24","Materials"
"LRK","LARK DISTILLING CO. LTD","2003-11-12","Food, Beverage & Tobacco"
"LRS","LATIN RESOURCES LIMITED","2010-09-21","Materials"
"LRT","LOWELL RESOURCES FUND","2018-03-22","Not Applic"
"LSA","LACHLAN STAR LIMITED","1971-07-28","Materials"
"LSF","L1 LONG SHORT FUND LIMITED","2018-04-24","Not Applic"
"LSH","LIFESPOT HEALTH LTD","2017-01-11","Health Care Equipment & Services"
"LSR","LODESTAR MINERALS LIMITED","2007-12-21","Materials"
"LSX","LION SELECTION GROUP LIMITED.","2013-03-13","Not Applic"
"LTR","LIONTOWN RESOURCES LIMITED","2006-12-27","Materials"
"LV1","LIVE VERDURE LTD","2020-12-14","Class Pend"
"LVE","LOVE GROUP GLOBAL LTD","2014-12-05","Software & Services"
"LVH","LIVEHIRE LIMITED","2016-06-10","Software & Services"
"LVT","LIVETILES LIMITED","1999-08-17","Software & Services"
"LYC","LYNAS RARE EARTHS LIMITED","1986-09-11","Materials"
"LYL","LYCOPODIUM LIMITED","2004-12-17","Capital Goods"
"M2R","MIRAMAR RESOURCES LIMITED","2020-10-22","Class Pend"
"M7T","MACH7 TECHNOLOGIES LIMITED","2005-11-30","Health Care Equipment & Services"
"M8S","M8 SUSTAINABLE LIMITED","2019-12-11","Commercial & Professional Services"
"MA1","MONASH ABSOLUTE INVESTMENT COMPANY LIMITED","2016-04-12","Not Applic"
"MAD","MADER GROUP LIMITED","2019-10-01","Commercial & Professional Services"
"MAG","MAGMATIC RESOURCES LIMITED","2017-05-19","Materials"
"MAH","MACMAHON HOLDINGS LIMITED","1983-12-01","Materials"
"MAI","MAINSTREAM GROUP HOLDINGS LIMITED","2015-10-01","Diversified Financials"
"MAM","MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","2018-04-30","Diversified Financials"
"MAN","MANDRAKE RESOURCES LIMITED","1987-05-29","Materials"
"MAQ","MACQUARIE TELECOM GROUP LIMITED","1999-09-27","Telecommunication Services"
"MAT","MATSA RESOURCES LIMITED","2005-04-20","Materials"
"MAU","MAGNETIC RESOURCES NL","2007-04-05","Materials"
"MAUCA","MAGNETIC RESOURCES NL","2007-04-05","Materials"
"MAX","MILLINIUM'S ALTERNATIVES FUND.","2006-12-20","Not Applic"
"MAY","MELBANA ENERGY LIMITED","1998-03-27","Energy"
"MBH","MAGGIE BEER HOLDINGS LTD","2004-08-27","Food, Beverage & Tobacco"
"MBK","METAL BANK LIMITED","2011-03-02","Materials"
"MBM","MOBECOM LIMITED","2008-07-17","Software & Services"
"MCA","MURRAY COD AUSTRALIA LIMITED","2011-03-30","Food, Beverage & Tobacco"
"MCB","MCB RESOURCES LIMITED","2007-06-07","Energy"
"MCE","MATRIX COMPOSITES & ENGINEERING LIMITED","2009-11-16","Energy"
"MCL","MIGHTY CRAFT LIMITED","2019-12-17","Food, Beverage & Tobacco"
"MCM","MC MINING LIMITED","1980-04-24","Energy"
"MCP","MCPHERSON'S LIMITED","1962-06-30","Household & Personal Products"
"MCR","MINCOR RESOURCES NL","1997-06-16","Materials"
"MCT","METALICITY LIMITED","2005-12-21","Materials"
"MCX","MARINER CORPORATION LIMITED","1986-06-20","Diversified Financials"
