"ASX code","Company name","Listing date","GICs industry group"
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials"
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment"
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials"
"AST","AUSNET SERVICES LIMITED","2005-12-14","Utilities"
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials"
"ASX","ASX LIMITED","1998-10-14","Diversified Financials"
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services"
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials"
"ATCNB","ALTECH CHEMICALS LTD","2010-01-27","Materials"
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences"
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components"
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel"
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials"
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy"
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials"
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences"
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate"
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance"
"AUC","AUSGOLD LIMITED","2009-12-16","Materials"
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy"
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic"
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing"
"AUL","AUSTAR GOLD LIMITED","2006-11-22","Materials"
"AUN","AURUMIN LIMITED","2020-12-09","Materials"
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials"
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials"
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials"
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials"
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services"
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment"
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials"
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences"
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco"
